,SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
151096,NSE,E,1,EQUITY,0,GOLDSTAR,11250.0,GOLDSTAR POWER LIMITED,,,,5.0,,ES,SM,GOLDSTAR POWER LIMITED
151097,NSE,E,100,EQUITY,0,ARE&M,1.0,Amara Raja Energy & Mobility,,,,5.0,,ES,EQ,AMARA RAJA ENERGY MOB LTD
151108,NSE,E,10074,EQUITY,0,EMAMIPAP,1.0,Emami Paper Mills,,,,5.0,,ES,EQ,EMAMI PAPER MILLS LIMITED
151109,NSE,E,1008,EQUITY,0,FACT,1.0,Fertilisers & Chemical Travancore,,,,5.0,,ES,EQ,FACT LTD
151111,NSE,E,10097,EQUITY,0,GUJRAFFIA,1.0,Gujarat Raffia Industries,,,,5.0,,ES,BE,GUJARAT RAFFIA INDUST LTD
151112,NSE,E,10099,EQUITY,0,GODREJCP,1.0,Godrej Consumer Products,,,,5.0,,ES,EQ,GODREJ CONSUMER PRODUCTS
151113,NSE,E,1011,EQUITY,0,SCHAEFFLER,1.0,SCHAEFFLER INDIA LIMITED,,,,5.0,,ES,EQ,SCHAEFFLER INDIA LIMITED
151114,NSE,E,10115,EQUITY,0,CORALFINAC,1.0,Coral India Finance,,,,5.0,,ES,BE,CORAL INDIA FIN & HOUS LT
151117,NSE,E,10159,EQUITY,0,ORICONENT,1.0,Oricon Enterprises,,,,5.0,,ES,EQ,ORICON ENTERPRISES LTD
151120,NSE,E,10185,EQUITY,0,BALKRISHNA,1.0,Balkrishna Paper Mills,,,,5.0,,ES,BE,BALKRISHNA PAPER MILLS L
151122,NSE,E,10192,EQUITY,0,SHYAMCENT,1.0,Shyam Century Ferrous,,,,5.0,,ES,BE,SHYAM CENTURY FERROUS LTD
151139,NSE,E,10217,EQUITY,0,ADANIENSOL,1.0,Adani Energy Solutions,,,,5.0,,ES,EQ,ADANI ENERGY SOLUTION LTD
151142,NSE,E,10227,EQUITY,0,MANORAMA,1.0,MANORAMA INDUSTRIES LTD,,,,5.0,,ES,EQ,MANORAMA INDUSTRIES LTD
151143,NSE,E,1023,EQUITY,0,FEDERALBNK,1.0,Federal Bank,,,,5.0,,ES,EQ,FEDERAL BANK LTD
151148,NSE,E,10238,EQUITY,0,CONFIPET,1.0,Confidence Petroleum,,,,5.0,,ES,EQ,CONFIDENCE PETRO IND LTD.
151149,NSE,E,10243,EQUITY,0,SYNGENE,1.0,Syngene International,,,,5.0,,ES,EQ,SYNGENE INTERNATIONAL LTD
151153,NSE,E,10253,EQUITY,0,EMKAYTOOLS,300.0,Emkay Tap & Cut. Tool,,,,5.0,,ES,SM,EMKAY TAP & CUT. TOOL LTD
151161,NSE,E,10276,EQUITY,0,KAYA,1.0,Kaya,,,,5.0,,ES,EQ,KAYA LIMITED
151162,NSE,E,10277,EQUITY,0,NGLFINE,1.0,NGL Fine Chem,,,,5.0,,ES,EQ,NGL FINE CHEM LIMITED
151163,NSE,E,10285,EQUITY,0,AYMSYNTEX,1.0,AYM Syntex,,,,5.0,,ES,EQ,AYM SYNTEX LIMITED
